ID,label
1,知识点JS1-声明-var-变量提升
5,知识点JS1-声明-let-作⽤域
6,知识点JS1-声明-var-变量提升；知识点JS1-声明-let-暂时性死区
16,知识点JS1-声明-let-作⽤域
11,知识点JS2-数据类型-数据类型检测-typeof
12,知识点JS2-数据类型-隐式类型转换-==
18,知识点JS1-声明-let-作⽤域；知识点JS1-声明-let-暂时性死区；知识点JS1-声明-const-常量不可变性
19,知识点JS2-数据类型-隐式类型转换-数学运算符
20,知识点JS1-声明-var-变量提升
21,知识点JS1-声明-let-暂时性死区
22,知识点JS2-数据类型-参数传递-基本类型；知识点JS2-数据类型-参数传递-引⽤类型
23,知识点JS2-数据类型-隐式类型转换-单个变量
24,知识点JS2-数据类型-隐式类型转换-数学运算符
25,知识点JS1-声明-var-变量提升
3,知识点JS2-数据类型-参数传递-引⽤类型
10,知识点JS3-对象的复制-引⽤类型-复制存在的问题
FLUSH30,知识点JS4-数组-降维-手动实现
26,知识点JS2-数据类型-数据类型检测-多种检测方式
29,知识点JS7-继承-原型-原型对象
30,知识点JS7-继承-⼏种常⻅的继承模式- 原型链；知识点JS7-继承-⼏种常⻅的继承模式- 构造函数；知识点JS7-继承-⼏种常⻅的继承模式- 组合
31,知识点JS7-继承-原型链-链式结构
32,知识点JS7-继承-原型-原型对象；知识点JS7-继承-原型-内部原型
33,知识点JS2-数据类型-参数传递-基本类型
34,知识点JS5-函数-箭头函数-基本语法
35,知识点JS2-数据类型-数据类型检测-typeof；知识点JS5-函数-IIFE-基本语法
36,知识点JS2-数据类型-数据的比较-区别
37,知识点JS2-数据类型-隐式类型转换-ToPrimitive
38,知识点JS7-继承-原型-原型对象
39,知识点JS2-数据类型-隐式类型转换-==
